rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Connecticut,BE,31-8,121.47865251290692,3,91.20937434945267,9,0.9642803106601199,1,31,8,13,7,13-7,0.7065881944526105,0.5019260246060958,0.7492342456197593,0.7065881944526105,0.5019260246060958,0.7492342456197593,0.6780967471192568,0.7929986367284144,108.78101416043282,99.0451472245815,108.78101416043282,99.0451472245815,117.72073866281588,94.73894709256123,128.46371377864284,95.2047553344595,0.9690993759861163,18,-0.04634968064443923,1513.0,1367.0,1355.6499999999999,1.1160697820233838,1.0083723674989857,0,0.65,5.03348948052909,13,280,66.72789413345367
2,Alabama,SEC,31-6,116.08134182218922,15,89.02786823018461,3,0.9548442146074507,2,31,6,16,2,16-2,0.7388879375642563,0.7037097047473673,0.7485799639198207,0.7388879375642563,0.7037097047473673,0.7485799639198207,0.661526211094817,0.6523203026256449,110.05836160455904,98.36036861402111,110.05836160455904,98.36036861402111,117.91898647937552,87.86286801231712,117.55448099185335,93.74220735562973,0.9310584860196048,19,0.04160784274648566,1495.0,1198.0,1321.825,1.1310120477370302,0.906322697785259,0,0.8888888888888888,10.193385459424864,1,89,72.55142756652904
3,Houston,Amer,33-4,117.3071006829017,13,90.26847979176573,5,0.9531615483032155,3,33,4,17,1,17-1,0.6238630395784766,0.5309681683768679,0.6501121487440314,0.6238630395784766,0.5309681683768679,0.6501121487440314,0.7582018727817919,0.7864290099476535,107.20141033098727,101.30907361580701,107.20141033098727,101.30907361580701,122.07297664403487,94.69896899691786,123.49521888437859,94.92475500037145,0.9537286422361467,12,0.031734278578293695,1392.0,1104.0,1164.8625,1.1949908250973829,0.9477513440427519,0,0.9444444444444444,8.046207873638565,5,111,63.359244474784205
4,UCLA,P12,31-6,114.9146580548192,23,88.48160108970222,2,0.9528464213650168,4,31,6,18,2,18-2,0.6960603085336144,0.5269242687782495,0.7567622865518537,0.6960603085336144,0.5269242687782495,0.7567622865518537,0.7060355258114374,0.8071427449365994,108.91176510034823,99.5446881164803,108.91176510034823,99.5446881164803,112.5335281354268,87.39664362927017,122.26339165993487,96.54671615365254,0.9379486360356173,16,0.011676314264554288,1400.0,1186.0,1311.5499999999997,1.067439289390416,0.9042735694407382,0,0.9,8.403141697877443,4,152,66.07164775419179
5,Tennessee,SEC,25-11,111.21149539784216,57,87.52919111871827,1,0.9401279456858103,5,25,11,11,7,11-7,0.6899651794859172,0.5703512102573435,0.7481003553199317,0.6899651794859172,0.5703512102573435,0.7481003553199317,0.7059552870287161,0.75771737749176,108.77960088836988,99.75572680952983,108.77960088836988,99.75572680952983,112.46359681801299,88.9758753593196,121.15760685923601,95.43474125083398,0.939600270554612,15,-0.09768017347689784,1250.0,1077.0,1163.4125,1.0744254509900832,0.9257249685730556,0,0.6111111111111112,2.8100465801023318,25,349,65.14669625637008
6,Texas,B12,29-9,116.05752424369535,16,91.7605526943952,10,0.9371086097840453,6,29,9,12,6,12-6,0.7435345822694247,0.5248097362802682,0.8627572141431599,0.7435345822694247,0.5248097362802682,0.8627572141431599,0.6522517260176505,0.8012929376323594,110.60024916821696,98.9082326441042,110.60024916821696,98.9082326441042,115.6124683704686,94.80096668585816,127.57989302074812,101.44218052556326,0.9331689598663783,25,0.022597022623973784,1368.0,1301.0,1281.2499999999998,1.067707317073171,1.0154146341463417,0,0.6666666666666666,7.535282515915739,8,131,68.48438920120003
7,Purdue,B10,29-6,117.8709544624675,10,93.71080418946045,21,0.9332572186973009,7,29,6,15,5,15-5,0.7027561267100451,0.5459544012060676,0.7884665262173451,0.7027561267100451,0.5459544012060676,0.7884665262173451,0.6974520747301955,0.775346434307599,109.73953298270837,100.30503012658632,109.73953298270837,100.30503012658632,118.43905270769392,93.43339068753617,133.04110806574678,103.99050751267029,0.9444397165724074,17,0.05849258992335393,1418.0,1282.0,1274.25,1.1128114577202275,1.0060820090249165,0,0.75,9.390471253935695,3,53,63.9271455648247
8,Arizona,P12,28-7,119.35198535192653,6,95.41287260362122,34,0.9291977025290387,8,28,7,14,6,14-6,0.6875288433614315,0.5895469156945776,0.716225197562386,0.6875288433614315,0.5895469156945776,0.716225197562386,0.7066616547431334,0.7590732824594771,107.22667090593488,98.19356963729749,107.22667090593488,98.19356963729749,116.74989959944256,96.1763942139177,123.85809818280086,97.04160833533577,0.9429971544936885,13,0.03486416000201642,1551.0,1419.0,1423.5500000000002,1.0895296968845491,0.9968037652348002,0,0.7,7.571036792932546,7,101,72.16694034889832
9,Gonzaga,WCC,31-6,123.16706689135256,1,98.98630075577067,78,0.9250788481579244,9,31,6,14,2,14-2,0.6620908553272127,0.6115810441078815,0.6433812634606343,0.6620908553272127,0.6115810441078815,0.6433812634606343,0.7128568553560537,0.7178113126836406,110.03230663291056,100.79496631580486,110.03230663291056,100.79496631580486,125.50042138418524,101.59258784367242,130.78306777632488,103.40276019067045,0.9371118986218784,13,0.07960349377638376,1431.0,1216.0,1153.7124999999999,1.2403436731421391,1.0539887536973034,0,0.875,6.64482599459265,9,28,70.1224827817764
10,Saint Mary's,WCC,27-8,112.0609867601168,44,90.48392804108218,6,0.9212545976037012,10,27,8,14,2,14-2,0.6476016802862165,0.5980415488426598,0.6403597291816441,0.6476016802862165,0.5980415488426598,0.6403597291816441,0.7596654974254392,0.8046545862068207,109.79080060954941,101.7555423679234,109.79080060954941,101.7555423679234,114.74334858659388,90.30475576659381,125.74428409015586,102.773132854389,0.9105080010862286,7,-0.023637248626298568,1183.0,970.0,1026.0374999999997,1.152979301438788,0.945384549784974,0,0.875,3.404539009221231,23,226,61.902556869883966
