team,adjde,Year,conf,similar_team,similar_adjde,adjde_diff
Gonzaga,90.93967496053722,2021,WCC,Saint Mary's (CA),90.28264350017862,0.6570314603585956
San Diego St.,91.50952025597373,2021,MWC,Utah St.,90.35777211116516,1.1517481448085647
BYU,93.98397431323993,2021,WCC,Gonzaga,90.93967496053722,3.0442993527027085
Utah St.,90.35777211116516,2021,MWC,San Diego St.,91.50952025597373,1.1517481448085647
Boise St.,96.92888772822504,2021,MWC,Colorado St.,97.81086616361632,0.8819784353912894
UC Santa Barbara,97.51211364683668,2021,BW,UC Riverside,97.48246413042423,0.02964951641244795
Saint Mary's (CA),90.28264350017862,2021,WCC,Gonzaga,90.93967496053722,0.6570314603585956
Colorado St.,97.81086616361632,2021,MWC,Boise St.,96.92888772822504,0.8819784353912894
Pepperdine,99.4799078243875,2021,WCC,San Diego,99.92586294570646,0.44595512131895987
LMU (CA),100.11398320132028,2021,WCC,San Diego,99.92586294570646,0.18812025561382484
Abilene Christian,93.65939682567932,2021,Slnd,Sam Houston,102.44993114888986,8.790534323210537
San Francisco,98.33007457619485,2021,WCC,Pacific,98.40563248191675,0.07555790572190801
Nevada,100.7145808116626,2021,MWC,Fresno St.,102.14533616923131,1.4307553575687137
UC Riverside,97.48246413042423,2021,BW,UC Santa Barbara,97.51211364683668,0.02964951641244795
UC Irvine,94.35074852023472,2021,BW,UC Riverside,97.48246413042423,3.1317156101895165
Pacific,98.40563248191675,2021,WCC,San Francisco,98.33007457619485,0.07555790572190801
Santa Clara,98.95928331329948,2021,WCC,Pepperdine,99.4799078243875,0.5206245110880161
Wyoming,107.66272065840126,2021,MWC,Air Force,108.81123310000898,1.1485124416077213
CSU Bakersfield,102.54149700906596,2021,BW,UC Davis,102.3619291406257,0.17956786844025885
SFA,102.4727645720374,2021,Slnd,Sam Houston,102.44993114888986,0.022833423147545773
UNLV,103.86070970120576,2021,MWC,New Mexico,103.14577862190217,0.7149310793035966
Fresno St.,102.14533616923131,2021,MWC,New Mexico,103.14577862190217,1.0004424526708533
San Diego,99.92586294570646,2021,WCC,LMU (CA),100.11398320132028,0.18812025561382484
Sam Houston,102.44993114888986,2021,Slnd,SFA,102.4727645720374,0.022833423147545773
Hawaii,104.66399122318452,2021,BW,Cal Poly,104.80713265579578,0.14314143261125878
UC Davis,102.3619291406257,2021,BW,CSU Bakersfield,102.54149700906596,0.17956786844025885
Nicholls,104.6011330212204,2021,Slnd,Lamar University,105.76712330585477,1.1659902846343613
Long Beach St.,103.82319056202591,2021,BW,Hawaii,104.66399122318452,0.8408006611586103
UC San Diego,109.48204330890115,2021,BW,CSUN,111.39955097297052,1.9175076640693618
Cal St. Fullerton,111.68308185632434,2021,BW,CSUN,111.39955097297052,0.28353088335381926
New Mexico,103.14577862190217,2021,MWC,UNLV,103.86070970120576,0.7149310793035966
